calories,carb,fat,name,protein,sugar,type
49,4.1,2.1,Cauliflower Tortillas,4.1,1.6,Main dishes
65,6.7,3.2,Celery & Hummus,3.0,0.9,Main dishes
134,19.1,5.5,Tortilla Chips with Sour Cream Salsa,2.8,2.8,Main dishes
97,1.8,5.4,Smoked Salmon Brie and Cucumber Bites,10.2,0.9,Main dishes
412,47.4,19.7,Vegan Chia Peanut Butter Protein Balls,18.4,32.4,Main dishes
122,22.3,4.0,Spicy Buttered Corn,3.2,3.6,Main dishes
100,16.0,4.1,Fried Corn and Onions,2.7,5.6,Main dishes
221,14.0,14.5,Cinnamon Banana Mug Cake,10.1,5.9,Main dishes
57,9.8,0.3,Cinnamon Apple Delight,4.5,7.3,Main dishes
46,11.5,0.2,Maple Strawberry and Banana Shake,0.6,6.5,Main dishes
51,5.8,2.1,Cauliflower Fried Rice,3.4,1.7,Main dishes
145,5.3,13.4,Lemon Sesame Asparagus,3.1,1.6,Main dishes
310,28.0,19.5,Rice Cake with Peanut Butter Blackberries & Honey,10.7,12.3,Main dishes
78,10.2,3.8,Fingerling Potatoes with Chives and Tarragon,1.3,0.8,Main dishes
53,5.2,3.3,Pan Fried Broccoli,2.8,1.3,Main dishes
30,4.1,0.3,Simple Cottage Cheese Salad,3.1,2.7,Main dishes
101,20.1,2.5,Banana Soft Serve,2.0,10.2,Main dishes
24,3.3,0.5,Vegetable Miso Soup,1.3,0.6,Main dishes
40,7.9,0.4,Roast Teriyaki Broccoli,3.1,2.2,Main dishes
74,19.1,0.3,Banana Pineapple Ice Cream,0.9,11.0,Main dishes
17,3.7,0.1,Tossed Tomatoes Cucumber and Red Peppers,0.7,2.1,Main dishes
16,3.0,0.2,Celery,0.7,1.3,Main dishes
80,4.7,6.5,Salad with Ginger Sesame Miso Dressing,1.5,1.9,Main dishes
85,19.7,0.1,Pickled Red Onions with Cilantro,0.6,16.9,Main dishes
36,5.0,1.8,Chilled Corn Soup,0.8,1.2,Main dishes
64,2.9,5.6,Keto Cauliflower Parmesan Soup,1.3,1.1,Main dishes
318,3.3,19.7,Keto Oopsie Bread,30.2,1.7,Main dishes
81,15.4,0.8,Rivel Soup,3.0,0.6,Main dishes
143,22.9,3.9,Spanish style Toast with Tomato Pan con tomate,4.8,3.3,Main dishes
214,24.5,11.8,Mediterranean Orzo Salad,4.1,2.5,Main dishes
119,4.1,8.6,Greek Yogurt with Avocado and Tomato,6.1,0.6,Main dishes
167,15.0,10.1,Farro Salad,5.6,2.3,Main dishes
81,8.0,5.0,Cold Mediterranean Quinoa Salad,1.7,1.4,Main dishes
99,8.4,4.0,Yogurt with Pesto & Garbanzo Beans,7.4,1.6,Main dishes
431,59.5,23.2,Chocolate Cornflake Cakes,3.4,17.4,Main dishes
98,2.5,5.6,Lowcountry Breakfast Shrimp,9.2,0.8,Main dishes
339,4.0,36.6,Saut ed Spinach with Pine nuts,3.6,0.8,Main dishes
53,8.4,1.6,Green Beans with Cherry Tomatoes,1.7,3.7,Main dishes
165,28.4,3.7,Homemade Rice a Roni,3.6,0.5,Main dishes
89,17.1,1.6,Crispy roast potatoes,2.0,0.8,Main dishes
129,6.1,9.0,Kale spinach feta pie,7.1,1.6,Main dishes
317,41.5,13.4,Broccoli Spaghetti Soup,7.8,2.0,Main dishes
62,4.4,4.8,Spinach Tomato Salad,2.0,1.3,Main dishes
37,7.5,0.4,Friday Night Veggie Soup,1.2,0.8,Main dishes
122,15.7,6.1,Vegan Mashed Potatoes,1.8,0.7,Main dishes
35,8.2,0.1,Carrots,0.6,4.8,Main dishes
112,10.0,0.7,Protein boosted Honey Yogurt,16.7,8.6,Main dishes
92,18.1,1.4,Chocolate Strawberry Banana Milkshake,2.2,14.9,Main dishes
136,15.9,6.5,Quick and Easy Creamy Parmesan Corn,6.3,6.0,Main dishes
115,17.3,3.0,Zucchini Cakes,5.1,2.5,Main dishes
104,14.9,3.0,Bare Banana Chia Shake,2.7,8.4,Main dishes
101,13.5,3.5,co Roasted Chickpeas,4.8,0.1,Main dishes
162,18.5,9.4,Sweet Potato Fries,1.4,3.8,Main dishes
52,6.8,2.7,Steamed Green Beans,1.8,3.2,Main dishes
